//ÁLVARO CASTRO VALVERDE PB3 70926103Z
Cubo  0 ( 5 reg. ASIGNADOS)DNI: 11932930, Nombre: JOSE HERNANDEZ BERMEJO, Provincia: SALAMANCA
                        DNI: 23435455, Nombre: RAMIRO ROSADO ROJO, Provincia: SALAMANCA
                        DNI: 2315525, Nombre: RAMON CASTILLA TAPIA, Provincia: SALAMANCA
                        DNI: 7897445, Nombre: BRAULIO HOYOS MANCEBO, Provincia: ZAMORA




Cubo  6 ( 6 reg. ASIGNADOS)DNI: 6859236, Nombre: GREGORIO PEDRAZ ESTEBAN, Provincia: SALAMANCA
                        DNI: 3546546, Nombre: LUIS PORRAS ELVIRA, Provincia: SALAMANCA
                        DNI: 7462906, Nombre: ANA CORRALES ZAPATA, Provincia: SALAMANCA
                        DNI: 71493016, Nombre: JOSE SANCHEZ PEREZ, Provincia: SALAMANCA
                        DNI: 11279546, Nombre: ANTONIO PRIETO MARCOS, Provincia: SALAMANCA
                        DNI: 71259836, Nombre: FELIX CABO SANCHEZ, Provincia: SALAMANCA


Cubo  7 ( 2 reg. ASIGNADOS)DNI: 7301387, Nombre: M.CARMEN MORENO HERNANDEZ, Provincia: SALAMANCA
                        DNI: 1234567, Nombre: PRUEBA APE1 APE2, Provincia: Salamanca






Cubo  8 ( 8 reg. ASIGNADOS)DNI: 9029648, Nombre: JOSE BENITO BERNAL, Provincia: SALAMANCA
DESBORDADO              DNI: 6373728, Nombre: ANTONIO PERANCHO MU�OZ, Provincia: CACERES
                        DNI: 7389298, Nombre: LAMBERTO RODRIGUEZ GARCIA, Provincia: AVILA
                        DNI: 4568418, Nombre: JOSE RODRIGUEZ LUCAS, Provincia: AVILA
                        DNI: 14244148, Nombre: MANUEL TRIGO FERNANDEZ, Provincia: AVILA
                        DNI: 25254178, Nombre: JUAN ACOSTA FERNANDEZ, Provincia: AVILA
                        DNI: 256418, Nombre: REMIGIO MARTIN SERRADILLA, Provincia: SALAMANCA
                        DNI: 11592038, Nombre: MARIA BLANCO MENDEZ, Provincia: SALAMANCA
Cubo  9 ( 5 reg. ASIGNADOS)DNI: 8433839, Nombre: SILVERIO MATEOS HERNANDEZ, Provincia: CACERES
                        DNI: 8382939, Nombre: OVIDIO NIETO SANCHEZ, Provincia: CACERES
                        DNI: 7851489, Nombre: FEDERICO HERNANDEZ REYES, Provincia: SALAMANCA
                        DNI: 74196599, Nombre: LUIS ALVAREZ BENITO, Provincia: SALAMANCA
                        DNI: 12312389, Nombre: CAROLINA SERRANO PEREZ, Provincia: SALAMANCA



Cubo 10 ( 8 reg. ASIGNADOS)DNI: 7823172, Nombre: EMILIO HERNANDEZ GARCIA, Provincia: CACERES
                        DNI: 5235323, Nombre: JOSE LOBATO GARCIA, Provincia: CACERES
                        DNI: 22874843, Nombre: FRANCISCO LOPEZ BARCO, Provincia: CACERES
                        DNI: 12283833, Nombre: CARLOS LOPEZ CUADRADO, Provincia: BADAJOZ
                        DNI: 7282323, Nombre: ATAULFO LORENZO CARPIO, Provincia: CACERES
                        DNI: 15838332, Nombre: ARSENIO MONTERO MERCHAN, Provincia: SALAMANCA
                        DNI: 4839392, Nombre: PASCUAL PANIAGUA APARICIO, Provincia: CACERES
                        DNI: 13929272, Nombre: JAVIER PEREZ ARROYO, Provincia: SALAMANCA
Cubo 11 ( 8 reg. ASIGNADOS)DNI: 12939272, Nombre: JUAN PEREZ SANCHEZ, Provincia: SALAMANCA
                        DNI: 8663873, Nombre: JUAN REGATOS MORO, Provincia: Sevilla
                        DNI: 12515152, Nombre: RIGOBERTO ACU�A GIL, Provincia: SALAMANCA
                        DNI: 2894123, Nombre: ANGEL MARTIN RODRIGUEZ, Provincia: ZAMORA
                        DNI: 7152638, Nombre: M.ISABEL IGLESIA GARCIA, Provincia: SALAMANCA
                        DNI: 7219752, Nombre: M.MAR GOMEZ MORAN, Provincia: SALAMANCA
                        DNI: 11000258, Nombre: JESUS BORGES ENRIQUEZ, Provincia: SALAMANCA
                        DNI: 33333333, Nombre: JOSE HERNANDEZ PEREZ, Provincia: SALAMANCA
Cubo 12 ( 1 reg. ASIGNADOS)DNI: 11543192, Nombre: FRANCISCO ROLDAN ESCUDERO, Provincia: ZAMORA







Cubo 13 ( 0 reg. ASIGNADOS)







ORGANIZACIÓN MÉTODO DISPERSIÓN:
         10 CUBOS y 4 CUBOS DESBORDE con capacidad 8
Cubo de Desborde Actual: 12
         Contiene 70 registros de los cuales se han desbordado 17:
Densidad ACTUAL de ocupación: 62 
        (MÍNIMA permitida 40.000000  MÁXIMA permitida 80.000000)
